Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.035162,0.00018554,-0.033946,0,0,0,1.3493,0.00085387,2.0082E-07,5.6463E-06,0.0032191,-4.4874E-07,0.0037181,0,0,0,0,0,0,package://simplify_fullremake/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/base_link.STL,,nucunderupper-1;nucunderlyer-1;Part4-edit-1;Part2-1;bumper-2;Batteryholder-2;battery-4;batteryswapper-2;MainBase-1;SupportBase-1;batteryswapper-1;battery-3;Batteryholder-3;STM32 Nucleo Case v2-1;rplidarunderscore-1;LEDspuck-1;SupportbaseExtruder-1;SupportbaseExtruder2-1;bumper-3;Part3-1,GLOBAL_Basefootprint,Lidar_axis,Base_Footprint,fixed,0,0,0.07,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RR_wheel,0,8.6736E-19,2.7063E-17,0,0,0,1.2057,0.025255,-2.3111E-33,1.3551E-18,0.025255,3.7408E-20,0.0021263,0,0,0,0,0,0,package://simplify_fullremake/meshes/RR_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/RR_wheel.STL,,wheel-8,GLOBAL_Rear,RearDriveShaft,RearWheel,continuous,-0.10719,-0.00018244,-0.0595,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
imu,2.7756E-17,0.0030723,-0.004,0,0,0,0.008384,2.1303E-06,-6.2435E-21,-7.7274E-22,3.0478E-07,1.4309E-20,2.3512E-06,0,0,0,0,0,0,package://simplify_fullremake/meshes/imu.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/imu.STL,,imu_stickmock-1,IMU_Link,IMU_axis,imu,fixed,0.136827920283231,0,0.00379999999999987,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-7.7574E-05,3.8691E-08,-0.012838,0,0,0,0.10251,3.5051E-05,2.0748E-11,-1.053E-07,3.5311E-05,-2.0839E-11,4.3497E-05,0,0,0,0,0,0,package://simplify_fullremake/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/lidar.STL,,RPLIDAR C1-1,Lidar_Link,Lidar_axis,lidar,fixed,0,0,0.0771000000000004,0,0,0,base_link,0,0,0,,,,,,,,,,,,
AckermannLeftTurn,-2.7756E-17,0.044628,-1.7347E-18,0,0,0,0.60059,0.0006775,2.4647E-20,0,0.0010631,5.0526E-22,0.0006775,0,0,0,0,0,0,package://simplify_fullremake/meshes/AckermannLeftTurn.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/AckermannLeftTurn.STL,,Wheel_front-1,GLOBAL_LeftAckermanTurn,AckermannAxisLeft,AckermannLeftTurn,revolute,0.192756865177,0.0961891877300641,-0.0595000000000001,0,0,0,base_link,0,0,1,99999,99999,-2,2,,,,,,,,
FL_wheel,-2.7756E-17,1.7347E-18,0.027,0,0,0,0.60059,0.0006775,0,3.2406E-21,0.0006775,-5.0526E-22,0.0010631,0,0,0,0,0,0,package://simplify_fullremake/meshes/FL_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/FL_wheel.STL,,Wheel_front-1,GLOBAL_FL,Wheelinneraxis <Wheel_front-1>,FL_wheel,continuous,0,0.01762837,0,-1.5707963267949,0,0,AckermannLeftTurn,0,0,1,0,0,0,0,,,,,,,,
AckermannRightTurn,-2.7756E-17,-0.044628,0,0,0,0,0.60059,0.0006775,-2.6716E-20,-9.5146E-35,0.0010631,2.0586E-22,0.0006775,0,0,0,0,0,0,package://simplify_fullremake/meshes/AckermannRightTurn.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/AckermannRightTurn.STL,,Wheel_front-3,GLOBAL_RightAckermanTurn,AckermannAxisRight,AckermannRightTurn,revolute,0.19276,-0.096554,-0.0595,0,0,0,base_link,0,0,1,99999,99999,-2,2,,,,,,,,
FR_wheel,0,0,-0.027,0,0,0,0.60059,0.0006775,0,-2.6716E-20,0.0006775,-2.0586E-22,0.0010631,0,0,0,0,0,0,package://simplify_fullremake/meshes/FR_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/FR_wheel.STL,,Wheel_front-3,GLOBAL_FR,Wheelinneraxis <Wheel_front-3>,FR_wheel,continuous,0,-0.017628,0,-1.5708,0,0,AckermannRightTurn,0,0,1,0,0,0,0,,,,,,,,
basefootprint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://simplify_fullremake/meshes/basefootprint.STL,1,1,1,1,0,0,0,0,0,0,package://simplify_fullremake/meshes/basefootprint.STL,,,GLOBAL_Basefootprint,Lidar_axis,Base_Footprint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
