Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000366043815191812,-0.0261731878266394,0.032893170662711,0,0,0,1.35645933629034,0.00326428828860201,-2.00823874109404E-07,-4.48738371895457E-07,0.000859127715487412,-5.64628213518551E-06,0.00376715224505149,0,0,0,0,0,0,package://simplify.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/base_link.STL,,nucunderupper-1;nucunderlyer-1;Part4-edit-1;Part2-1;bumper-2;Batteryholder-2;battery-4;batteryswapper-2;MainBase-1;SupportBase-1;batteryswapper-1;battery-3;Batteryholder-3;STM32 Nucleo Case v2-1;rplidarunderscore-1;LEDspuck-1;SupportbaseExtruder-1;SupportbaseExtruder2-1;bumper-3;Part3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_wheel,-0.0011625,-3.4694E-18,-0.026975,0,0,0,0.60059,0.00067822,2.4056E-20,1.6588E-05,0.0006775,2.216E-20,0.0010624,0,0,0,0,0,0,package://simplify.SLDASM/meshes/FR_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/FR_wheel.STL,,Wheel_front-3,Rightfront_wheel,WFR_axis,FR_wheel,continuous,-0.11398,-0.18453,0.02,1.5708,0,1.5708,base_link,0.043057,0,0.99907,,,,,,,,,,,,
FL_wheel,0.0011625,0,0.026975,0,0,0,0.60059,0.00067822,-6.7085E-20,1.6588E-05,0.0006775,5.9398E-21,0.0010624,0,0,0,0,0,0,package://simplify.SLDASM/meshes/FL_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/FL_wheel.STL,,Wheel_front-1,Leftfront_wheel,WFL_axis,FL_wheel,continuous,0.11398,-0.18302,0.02,1.5708,0,1.5708,base_link,-0.043057,0,-0.99907,,,,,,,,,,,,
RR_wheel,-4.0246E-16,1.4745E-17,0.114,0,0,0,1.2057,0.025255,-8.9136E-20,7.7952E-17,0.025255,-3.033E-18,0.0021263,0,0,0,0,0,0,package://simplify.SLDASM/meshes/RR_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/RR_wheel.STL,,wheel-8,Rightback_wheel,Axis9,RR_wheel,continuous,-0.114,0.11617,0.0075,1.5708,0,1.5708,base_link,0,0,-1,,,,,,,,,,,,
RL_wheel,3.747E-16,-1.3878E-17,-0.114,0,0,0,1.2057,0.025255,-8.9136E-20,7.7952E-17,0.025255,-3.033E-18,0.0021263,0,0,0,0,0,0,package://simplify.SLDASM/meshes/RL_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/RL_wheel.STL,,wheel-8,Leftback_wheel,Axis9,RL_wheel,continuous,0.114,0.11617,0.0075,1.5708,0,1.5708,base_link,0,0,-1,,,,,,,,,,,,
imu,0.0030723,-5.5511E-17,-0.004,0,0,0,0.008384,3.0478E-07,-1.2377E-22,1.1181E-23,2.1303E-06,2.3136E-21,2.3512E-06,0,0,0,0,0,0,package://simplify.SLDASM/meshes/imu.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/imu.STL,,imu_stickmock-1,IMU_Link,IMU_axis,imu,fixed,0.00018244,-0.12785,0.0708,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,3.8691E-08,7.7574E-05,-0.012838,0,0,0,0.10251,3.5311E-05,-2.0748E-11,-2.0839E-11,3.5051E-05,1.053E-07,4.3497E-05,0,0,0,0,0,0,package://simplify.SLDASM/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/lidar.STL,,RPLIDAR C1-1,Lidar_Link,Lidar_axis,lidar,fixed,0.00018244,0.0089812,0.1441,0,0,0,base_link,0,0,0,,,,,,,,,,,,
TFR_wheel,0.096512,0.15375,0.0036695,0,0,0,3.8742,0.069148,-0.00029424,-2.0352E-05,0.060406,0.0015805,0.11998,0,0,0,0,0,0,package://simplify.SLDASM/meshes/TFR_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/TFR_wheel.STL,,,TurnRight_Link,TFR_Axis,TFR_wheel,revolute,-0.096372,-0.18378,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
TFL_wheel,-0.096232,0.15375,0.0036695,0,0,0,3.8742,0.069148,-0.00029424,-2.0352E-05,0.060406,0.0015805,0.11998,0,0,0,0,0,0,package://simplify.SLDASM/meshes/TFL_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://simplify.SLDASM/meshes/TFL_wheel.STL,,,TurnLeft_Link,TFL_Axis,TFL_wheel,revolute,0.096372,-0.18378,0.02,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
